CustomerID	PersonID	PreferredContactID
5	1043	Email
25	2027	Email
26	1872	Email
29	1151	Email
36	1672	Email
40	1264	Email
41	1470	Email
48	2363	Email
55	424	Email
59	762	Email
61	978	Email
64	2409	Email
67	997	Email
71	704	Email
76	462	Email
77	2440	Email
79	1421	Email
81	1207	Email
82	546	Email
87	906	Email
88	2438	Email
90	188	Email
91	1677	Email
92	1426	Email
97	69	Email
99	2411	Email
100	676	Email
101	2184	Email
102	191	Email
105	345	Email
106	1548	Email
107	1314	Email
108	393	Email
109	1837	Email
111	2231	Email
113	1041	Email
114	1916	Email
116	981	Email
117	1971	Email
118	332	Email
119	1876	Email
120	2286	Email
121	492	Email
122	1920	Email
123	595	Email
124	2089	Email
125	1818	Email
127	456	Email
128	203	Email
129	1303	Email
131	1249	Email
132	224	Email
133	2273	Email
134	2075	Email
136	2346	Email
137	361	Email
140	2293	Email
141	836	Email
142	441	Email
143	167	Email
144	1550	Email
145	1193	Email
147	1398	Email
148	1764	Email
150	1363	Email
151	1471	Email
152	1272	Email
153	1130	Email
155	1845	Email
156	683	Email
157	1087	Email
158	1152	Email
159	848	Email
160	904	Email
161	2224	Email
166	168	Email
168	1035	Email
169	1403	Email
171	2341	Email
172	1571	Email
174	2050	Email
178	1729	Email
179	35	Email
180	2242	Email
184	1784	Email
185	1678	Email
186	1693	Email
187	1553	Email
188	201	Email
189	2262	Email
190	647	Email
191	524	Email
192	1967	Email
193	2040	Email
194	2142	Email
196	34	Email
197	295	Email
198	1129	Email
200	1698	Email
204	400	Email
205	1200	Email
207	842	Email
208	1139	Email
210	2265	Email
212	2096	Email
213	1089	Email
214	883	Email
215	1924	Email
216	1263	Email
218	931	Email
219	2376	Email
221	419	Email
222	1778	Email
224	36	Email
228	949	Email
229	250	Email
230	570	Email
231	1922	Email
232	15	Email
233	1376	Email
234	472	Email
235	642	Email
237	1576	Email
238	159	Email
239	876	Email
241	2397	Email
242	27	Email
243	2059	Email
245	339	Email
246	982	Email
247	2188	Email
248	1561	Email
250	1491	Email
251	574	Email
252	701	Email
253	221	Email
254	995	Email
255	1609	Email
256	958	Email
257	705	Email
258	613	Email
259	1037	Email
260	1326	Email
263	1704	Email
264	1092	Email
265	620	Email
266	180	Email
267	1427	Email
268	1163	Email
270	411	Email
271	792	Email
272	556	Email
273	1004	Email
274	2287	Email
275	446	Email
278	1717	Email
281	1142	Email
284	929	Email
286	1538	Email
287	1867	Email
290	2046	Email
293	685	Email
295	1772	Email
297	795	Email
298	596	Email
299	800	Email
300	925	Email
302	650	Email
303	2082	Email
304	1230	Email
306	2360	Email
308	63	Email
310	1267	Email
311	1741	Email
313	321	Email
315	1393	Email
317	146	Email
318	784	Email
319	1893	Email
320	1653	Email
321	1280	Email
322	1682	Email
324	1846	Email
325	1413	Email
326	415	Email
329	2062	Email
330	633	Email
331	2154	Email
332	670	Email
334	358	Email
336	1455	Email
337	1896	Email
339	2260	Email
340	860	Email
341	754	Email
342	1190	Email
343	718	Email
344	2247	Email
346	20	Email
347	1931	Email
348	1859	Email
349	1144	Email
350	690	Email
351	1786	Email
353	2198	Email
354	107	Email
355	2377	Email
356	338	Email
357	1619	Email
359	1972	Email
360	1182	Email
361	1088	Email
366	962	Email
367	217	Email
368	1909	Email
369	516	Email
370	1525	Email
372	955	Email
374	1519	Email
375	532	Email
377	1522	Email
379	227	Email
380	2330	Email
381	414	Email
382	1205	Email
383	2317	Email
384	2110	Email
386	96	Email
387	2010	Email
390	785	Email
391	83	Email
392	1416	Email
393	2338	Email
394	986	Email
395	1238	Email
397	1337	Email
398	1799	Email
399	1439	Email
400	1081	Email
401	1783	Email
403	105	Email
404	2086	Email
405	2	Email
409	2292	Email
410	2009	Email
415	310	Email
417	1583	Email
418	1066	Email
421	2392	Email
422	1906	Email
423	2270	Email
424	1604	Email
425	686	Email
426	19	Email
428	1483	Email
429	1834	Email
431	2192	Email
432	234	Email
433	941	Email
434	2121	Email
436	267	Email
439	1844	Email
441	124	Email
442	1952	Email
444	751	Email
445	6	Email
446	1534	Email
447	2257	Email
448	11	Email
449	2251	Email
451	67	Email
453	1394	Email
454	334	Email
455	1014	Email
456	1141	Email
457	1341	Email
459	1923	Email
460	607	Email
461	1755	Email
463	572	Email
464	1703	Email
466	58	Email
467	1823	Email
469	1838	Email
470	427	Email
472	2368	Email
473	130	Email
474	2015	Email
477	2190	Email
478	2223	Email
480	858	Email
482	1702	Email
483	1921	Email
485	493	Email
486	1444	Email
487	331	Email
489	599	Email
491	340	Email
492	1942	Email
494	1462	Email
495	579	Email
496	74	Email
498	101	Email
501	2420	Email
503	917	Email
504	94	Email
507	2426	Email
508	2425	Email
509	2348	Email
511	1796	Email
512	1801	Email
513	293	Email
514	1810	Email
515	2054	Email
516	118	Email
517	2241	Email
518	2436	Email
519	827	Email
520	1441	Email
521	854	Email
522	407	Email
523	2141	Email
524	313	Email
525	336	Email
526	1311	Email
527	1807	Email
528	1065	Email
529	1031	Email
530	2083	Email
531	2238	Email
534	1448	Email
536	1231	Email
537	603	Email
538	136	Email
539	2063	Email
540	1453	Email
543	763	Email
544	1359	Email
545	1754	Email
546	623	Email
548	2165	Email
549	636	Email
550	936	Email
551	369	Email
552	1914	Email
553	1718	Email
554	1590	Email
556	222	Email
557	757	Email
558	722	Email
559	695	Email
560	918	Email
561	593	Email
564	525	Email
565	1105	Email
566	447	Email
567	1080	Email
568	1842	Email
569	370	Email
570	225	Email
571	2406	Email
572	1255	Email
575	600	Email
576	1941	Email
579	1181	Email
582	249	Email
583	1468	Email
584	1120	Email
585	681	Email
586	802	Email
587	1224	Email
588	2006	Email
589	1983	Email
590	164	Email
591	1147	Email
592	184	Email
593	2272	Email
594	737	Email
597	1296	Email
598	779	Email
599	1169	Email
600	396	Email
601	1013	Email
602	284	Email
603	832	Email
605	2104	Email
606	1475	Email
608	2282	Email
612	1630	Email
613	2212	Email
616	2118	Email
618	2236	Email
619	895	Email
620	703	Email
621	1449	Email
622	1069	Email
623	1274	Email
627	470	Email
628	766	Email
629	816	Email
630	256	Email
631	545	Email
633	2430	Email
635	2119	Email
640	764	Email
642	1712	Email
643	635	Email
645	335	Email
649	366	Email
650	1955	Email
651	1666	Email
652	57	Email
653	1964	Email
656	1734	Email
660	392	Email
661	1564	Email
663	2159	Email
665	1354	Email
666	537	Email
667	1751	Email
668	2203	Email
669	2113	Email
670	1012	Email
671	989	Email
672	200	Email
673	1563	Email
674	2047	Email
677	1901	Email
678	970	Email
679	2067	Email
680	55	Email
681	637	Email
682	1411	Email
683	2275	Email
684	1714	Email
686	1735	Email
687	1912	Email
688	1400	Email
689	944	Email
690	306	Email
691	1577	Email
692	2385	Email
694	2233	Email
695	914	Email
696	2042	Email
697	1908	Email
699	268	Email
701	612	Email
702	182	Email
704	2307	Email
706	1821	Email
707	1719	Email
708	1059	Email
711	801	Email
712	32	Email
713	285	Email
721	1797	Email
723	776	Email
726	1317	Email
728	86	Email
729	1192	Email
732	571	Email
734	132	Email
735	189	Email
736	1840	Email
737	835	Email
741	483	Email
742	45	Email
744	1352	Email
745	433	Email
746	961	Email
748	275	Email
749	1112	Email
751	499	Email
752	2056	Email
753	2080	Email
754	248	Email
755	139	Email
757	877	Email
758	2069	Email
759	2269	Email
760	790	Email
761	438	Email
762	2038	Email
764	1779	Email
765	562	Email
766	1465	Email
767	1740	Email
768	216	Email
769	907	Email
770	2017	Email
772	729	Email
773	460	Email
775	459	Email
777	500	Email
778	724	Email
779	2381	Email
781	660	Email
782	174	Email
784	1739	Email
785	1781	Email
788	723	Email
789	1697	Email
790	765	Email
792	1877	Email
793	1155	Email
797	834	Email
798	152	Email
799	1260	Email
800	1540	Email
803	2016	Email
804	1473	Email
807	126	Email
808	1001	Email
811	1835	Email
813	1385	Email
